List of 174 lines in spectrum 1 to spectrum 10
line         frequency (Hz)
  48           4      0.00005
  48           5      0.00002
  48           6      0.00001
  48           7      0.00000
  48           8      0.00000
  48           9      0.00000
  48          10      0.00000
  49           1      0.07682
  49           2      0.05243
  49           3      0.03547
  49           4      0.02393
  49           5      0.01614
  49           6      0.01064
  49           7      0.00759
  49           8      0.00508
  49           9      0.00334
  49          10      0.00222
  50           1      0.13306
  50           2      0.09080
  50           3      0.06144
  50           4      0.04145
  50           5      0.02796
  50           6      0.01843
  50           7      0.01314
  50           8      0.00879
  50           9      0.00578
  50          10      0.00385
  51           1      0.00007
  51           2      0.00005
  51           3      0.00003
  51           4      0.00002
  51           5      0.00002
  51           6      0.00001
  51           7      0.00001
  51           8      0.00000
  51           9      0.00000
  51          10      0.00000
  52           1      0.02483
  52           2      0.01879
  52           3      0.01435
  52           4      0.01101
  52           5      0.00839
  52           6      0.00631
  52           7      0.00480
  52           8      0.00374
  52           9      0.00282
  52          10      0.00219
  53           1      0.04301
  53           2      0.03254
  53           3      0.02486
  53           4      0.01907
  53           5      0.01453
  53           6      0.01092
  53           7      0.00832
  53           8      0.00647
  53           9      0.00488
  53          10      0.00379
  54           1      0.00002
  54           2      0.00002
  54           3      0.00001
  54           4      0.00001
  54           5      0.00001
  54           6      0.00001
  54           7      0.00000
  54           8      0.00000
  54           9      0.00000
  54          10      0.00000
  55           1      0.01100
  55           2      0.00955
  55           3      0.00823
  55           4      0.00702
  55           5      0.00610
  55           6      0.00514
  55           7      0.00446
  55           8      0.00389
  55           9      0.00303
  55          10      0.00282
  56           1      0.01904
  56           2      0.01654
  56           3      0.01426
  56           4      0.01216
  56           5      0.01056
  56           6      0.00890
  56           7      0.00772
  56           8      0.00674
  56           9      0.00526
  56          10      0.00489
  57           1      0.00001
  57           2      0.00001
  57           3      0.00001
  57           4      0.00001
  57           5      0.00001
  57           6      0.00000
  57           7      0.00000
  57           8      0.00000
  57           9      0.00000
  57          10      0.00000
  58           1      0.06830
  58           2      0.04468
  58           3      0.02969
  58           4      0.01973
  58           5      0.01323
  58           6      0.00892
  58           7      0.00602
  58           8      0.00418
  58           9      0.00305
  58          10      0.00193
  59           1      0.11830
  59           2      0.07738
  59           3      0.05143
  59           4      0.03418
  59           5      0.02292
  59           6      0.01545
  59           7      0.01042
  59           8      0.00725
  59           9      0.00529
  59          10      0.00335
  60           1      0.00006
  60           2      0.00004
  60           3      0.00003
  60           4      0.00002
  60           5      0.00001
  60           6      0.00001
  60           7      0.00001
  60           8      0.00000
  60           9      0.00000
  60          10      0.00000
  61           1      0.06669
  61           2      0.04346
  61           3      0.02909
  61           4      0.01951
  61           5      0.01303
  61           6      0.00878
  61           7      0.00600
  61           8      0.00422
  61           9      0.00277
  61          10      0.00204
  62           1      0.11550
  62           2      0.07527
  62           3      0.05038
  62           4      0.03379
  62           5      0.02256
  62           6      0.01520
  62           7      0.01039
  62           8      0.00731
  62           9      0.00479
  62          10      0.00353
  63           1      0.00006
  63           2      0.00004
  63           3      0.00003
  63           4      0.00002
  63           5      0.00001
  63           6      0.00001
  63           7      0.00001
  63           8      0.00000
  63           9      0.00000
  63          10      0.00000
  64           1      0.07900
  64           2      0.06616
  64           3      0.05475
  64           4      0.04475
  64           5      0.03704
  64           6      0.03058
  64           7      0.02531
  64           8      0.02075
  64           9      0.01721
  64          10      0.01426
  65           1      0.13682
  65           2      0.11459
  65           3      0.09482
  65           4      0.07750
  65           5      0.06416
  65           6      0.05296
  65           7      0.04383
  65           8      0.03594
  65           9      0.02981
  65          10      0.02469
  66           1      0.00008
  66           2      0.00006
  66           3      0.00005
  66           4      0.00004
  66           5      0.00004
  66           6      0.00003
  66           7      0.00002
  66           8      0.00002
  66           9      0.00002
  66          10      0.00001
  67           1      0.02145
  67           2      0.01667
  67           3      0.01274
  67           4      0.00975
  67           5      0.00753
  67           6      0.00600
  67           7      0.00469
  67           8      0.00362
  67           9      0.00275
  67          10      0.00229
  68           1      0.03715
  68           2      0.02886
  68           3      0.02206
  68           4      0.01689
  68           5      0.01304
  68           6      0.01039
  68           7      0.00812
  68           8      0.00626
  68           9      0.00476
  68          10      0.00397
  69           1      0.00002
  69           2      0.00002
  69           3      0.00001
  69           4      0.00001
  69           5      0.00001
  69           6      0.00001
  69           7      0.00000
  69           8      0.00000
  69           9      0.00000
  69          10      0.00000
  70           1      0.11607
  70           2      0.09342
  70           3      0.07632
  70           4      0.06306
  70           5      0.05195
  70           6      0.04219
  70           7      0.03507
  70           8      0.02912
  70           9      0.02392
  70          10      0.01962
  71           1      0.20103
  71           2      0.16180
  71           3      0.13218
  71           4      0.10921
  71           5      0.08998
  71           6      0.07308
  71           7      0.06074
  71           8      0.05044
  71           9      0.04142
  71          10      0.03398
  72           1      0.00011
  72           2      0.00009
  72           3      0.00007
  72           4      0.00006
  72           5      0.00005
  72           6      0.00004
  72           7      0.00003
  72           8      0.00003
  72           9      0.00002
  72          10      0.00002
  73           1      0.08793
  73           2      0.07134
  73           3      0.05854
  73           4      0.04829
  73           5      0.03954
  73           6      0.03260
  73           7      0.02613
  73           8      0.02136
  73           9      0.01785
  73          10      0.01436
  74           1      0.15229
  74           2      0.12355
  74           3      0.10138
  74           4      0.08364
  74           5      0.06847
  74           6      0.05646
  74           7      0.04525
  74           8      0.03699
  74           9      0.03092
  74          10      0.02488
  75           1      0.00008
  75           2      0.00007
  75           3      0.00006
  75           4      0.00005
  75           5      0.00004
  75           6      0.00003
  75           7      0.00002
  75           8      0.00002
  75           9      0.00002
  75          10      0.00001
  76           1      0.01121
  76           2      0.00898
  76           3      0.00717
  76           4      0.00585
  76           5      0.00473
  76           6      0.00359
  76           7      0.00288
  76           8      0.00242
  76           9      0.00201
  76          10      0.00172
  77           1      0.01941
  77           2      0.01556
  77           3      0.01241
  77           4      0.01013
  77           5      0.00819
  77           6      0.00622
  77           7      0.00500
  77           8      0.00419
  77           9      0.00347
  77          10      0.00298
  78           1      0.00001
  78           2      0.00001
  78           3      0.00001
  78           4      0.00001
  78           5      0.00000
  78           6      0.00000
  78           7      0.00000
  78           8      0.00000
  78           9      0.00000
  78          10      0.00000
  79           1      0.11963
  79           2      0.05041
  79           3      0.03279
  79           4      0.03979
  79           5      0.03833
  79           6      0.02821
  79           7      0.09488
  79           8      0.02477
  79           9      0.04034
  79          10      0.03889
  80           1      0.20719
  80           2      0.08730
  80           3      0.05680
  80           4      0.06891
  80           5      0.06639
  80           6      0.04887
  80           7      0.16432
  80           8      0.04291
  80           9      0.06986
  80          10      0.06735
  81           1      0.00011
  81           2      0.00005
  81           3      0.00003
  81           4      0.00004
  81           5      0.00004
  81           6      0.00003
  81           7      0.00009
  81           8      0.00002
  81           9      0.00004
  81          10      0.00004
  82           1      0.00843
  82           2      0.00659
  82           3      0.00513
  82           4      0.00380
  82           5      0.00302
  82           6      0.00218
  82           7      0.00181
  82           8      0.00127
  82           9      0.00111
  82          10      0.00083
  83           1      0.01459
  83           2      0.01141
  83           3      0.00889
  83           4      0.00658
  83           5      0.00523
  83           6      0.00377
  83           7      0.00313
  83           8      0.00220
  83           9      0.00192
  83          10      0.00144
  84           1      0.00001
  84           2      0.00001
  84           3      0.00000
  84           4      0.00000
  84           5      0.00000
  84           6      0.00000
  84           7      0.00000
  84           8      0.00000
  84           9      0.00000
  84          10      0.00000
  85           1      0.31780
  85           2      0.19244
  85           3      0.11597
  85           4      0.07349
  85           5      0.04774
  85           6      0.02967
  85           7      0.02024
  85           8      0.01239
  85           9      0.00822
  85          10      0.00491
  86           1      0.55042
  86           2      0.33330
  86           3      0.20086
  86           4      0.12728
  86           5      0.08269
  86           6      0.05139
  86           7      0.03506
  86           8      0.02146
  86           9      0.01424
  86          10      0.00850
  87           1      0.00030
  87           2      0.00018
  87           3      0.00011
  87           4      0.00007
  87           5      0.00005
  87           6      0.00003
  87           7      0.00002
  87           8      0.00001
  87           9      0.00001
  87          10      0.00000
  88           1      0.00440
  88           2      0.00380
  88           3      0.00335
  88           4      0.00281
  88           5      0.00240
  88           6      0.00209
  88           7      0.00174
  88           8      0.00154
  88           9      0.00129
  88          10      0.00111
  89           1      0.00763
  89           2      0.00658
  89           3      0.00580
  89           4      0.00488
  89           5      0.00415
  89           6      0.00361
  89           7      0.00301
  89           8      0.00267
  89           9      0.00224
  89          10      0.00192
  90           1      0.00000
  90           2      0.00000
  90           3      0.00000
  90           4      0.00000
  90           5      0.00000
  90           6      0.00000
  90           7      0.00000
  90           8      0.00000
  90           9      0.00000
  90          10      0.00000
  91           1      0.01757
  91           2      0.01507
  91           3      0.01241
  91           4      0.01074
  91           5      0.00909
  91           6      0.00740
  91           7      0.00687
  91           8      0.00479
  91           9      0.00457
  91          10      0.00411
  92           1      0.03043
  92           2      0.02611
  92           3      0.02150
  92           4      0.01860
  92           5      0.01574
  92           6      0.01281
  92           7      0.01189
  92           8      0.00829
  92           9      0.00792
  92          10      0.00712
  93           1      0.00002
  93           2      0.00001
  93           3      0.00001
  93           4      0.00001
  93           5      0.00001
  93           6      0.00001
  93           7      0.00001
  93           8      0.00000
  93           9      0.00000
  93          10      0.00000
  94           1      0.00511
  94           2      0.00426
  94           3      0.00372
  94           4      0.00326
  94           5      0.00273
  94           6      0.00252
  94           7      0.00198
  94           8      0.00168
  94           9      0.00137
  94          10      0.00123
  95           1      0.00885
  95           2      0.00738
  95           3      0.00644
  95           4      0.00565
  95           5      0.00472
  95           6      0.00436
  95           7      0.00343
  95           8      0.00291
  95           9      0.00238
  95          10      0.00214
  96           1      0.00000
  96           2      0.00000
  96           3      0.00000
  96           4      0.00000
  96           5      0.00000
  96           6      0.00000
  96           7      0.00000
  96           8      0.00000
  96           9      0.00000
  96          10      0.00000
  97           1      0.32705
  97           2      0.19714
  97           3      0.11723
  97           4      0.06860
  97           5      0.04112
  97           6      0.02412
  97           7      0.01326
  97           8      0.00801
  97           9      0.00470
  97          10      0.00266
  98           1      0.56644
  98           2      0.34144
  98           3      0.20304
  98           4      0.11881
  98           5      0.07121
  98           6      0.04178
  98           7      0.02297
  98           8      0.01387
  98           9      0.00814
  98          10      0.00461
  99           1      0.00031
  99           2      0.00019
  99           3      0.00011
  99           4      0.00007
  99           5      0.00004
  99           6      0.00002
  99           7      0.00001
  99           8      0.00001
  99           9      0.00000
  99          10      0.00000
 100           1      0.06175
 100           2      0.04064
 100           3      0.02739
 100           4      0.01889
 100           5      0.01247
 100           6      0.00863
 100           7      0.00570
 100           8      0.00393
 100           9      0.00253
 100          10      0.00178
 101           1      0.10695
 101           2      0.07038
 101           3      0.04744
 101           4      0.03272
 101           5      0.02160
 101           6      0.01494
 101           7      0.00987
 101           8      0.00680
 101           9      0.00439
 101          10      0.00309
 102           1      0.00006
 102           2      0.00004
 102           3      0.00003
 102           4      0.00002
 102           5      0.00001
 102           6      0.00001
 102           7      0.00001
 102           8      0.00000
 102           9      0.00000
 102          10      0.00000
 103           1      0.01195
 103           2      0.00958
 103           3      0.00787
 103           4      0.00694
 103           5      0.00575
 103           6      0.00460
 103           7      0.00381
 103           8      0.00342
 103           9      0.00284
 103          10      0.00211
 104           1      0.02069
 104           2      0.01659
 104           3      0.01362
 104           4      0.01202
 104           5      0.00996
 104           6      0.00797
 104           7      0.00660
 104           8      0.00592
 104           9      0.00493
 104          10      0.00365
 105           1      0.00001
 105           2      0.00001
 105           3      0.00001
 105           4      0.00001
 105           5      0.00001
 105           6      0.00000
 105           7      0.00000
 105           8      0.00000
 105           9      0.00000
 105          10      0.00000
 106           1      0.03618
 106           2      0.02996
 106           3      0.02426
 106           4      0.01973
 106           5      0.01627
 106           6      0.01333
 106           7      0.01095
 106           8      0.00888
 106           9      0.00735
 106          10      0.00587
 107           1      0.06267
 107           2      0.05189
 107           3      0.04202
 107           4      0.03418
 107           5      0.02818
 107           6      0.02308
 107           7      0.01896
 107           8      0.01538
 107           9      0.01272
 107          10      0.01017
 108           1      0.00003
 108           2      0.00003
 108           3      0.00002
 108           4      0.00002
 108           5      0.00002
 108           6      0.00001
 108           7      0.00001
 108           8      0.00001
 108           9      0.00001
 108          10      0.00001
 109           1      0.03713
 109           2      0.03045
 109           3      0.02454
 109           4      0.02040
 109           5      0.01671
 109           6      0.01334
 109           7      0.01056
 109           8      0.00873
 109           9      0.00721
 109          10      0.00582
 110           1      0.06431
 110           2      0.05273
 110           3      0.04250
 110           4      0.03533
 110           5      0.02894
 110           6      0.02310
 110           7      0.01829
 110           8      0.01512
 110           9      0.01248
 110          10      0.01008
 111           1      0.00004
 111           2      0.00003
 111           3      0.00002
 111           4      0.00002
 111           5      0.00002
 111           6      0.00001
 111           7      0.00001
 111           8      0.00001
 111           9      0.00001
 111          10      0.00001
 112           1      0.00357
 112           2      0.00280
 112           3      0.00196
 112           4      0.00136
 112           5      0.00114
 112           6      0.00068
 112           7      0.00051
 112           8      0.00048
 112           9      0.00036
 112          10      0.00015
 113           1      0.00619
 113           2      0.00484
 113           3      0.00340
 113           4      0.00235
 113           5      0.00197
 113           6      0.00117
 113           7      0.00089
 113           8      0.00084
 113           9      0.00062
 113          10      0.00026
 114           1      0.00000
 114           2      0.00000
 114           3      0.00000
 114           4      0.00000
 114           5      0.00000
 114           6      0.00000
 114           7      0.00000
 114           8      0.00000
 114           9      0.00000
 114          10      0.00000
 115           1      0.05291
 115           2      0.04305
 115           3      0.03553
 115           4      0.02947
 115           5      0.02457
 115           6      0.02041
 115           7      0.01720
 115           8      0.01442
 115           9      0.01201
 115          10      0.01010
 116           1      0.09163
 116           2      0.07455
 116           3      0.06154
 116           4      0.05104
 116           5      0.04255
 116           6      0.03535
 116           7      0.02979
 116           8      0.02498
 116           9      0.02080
 116          10      0.01749
 117           1      0.00005
 117           2      0.00004
 117           3      0.00003
 117           4      0.00003
 117           5      0.00002
 117           6      0.00002
 117           7      0.00002
 117           8      0.00001
 117           9      0.00001
 117          10      0.00001
 118           1      0.32119
 118           2      0.18732
 118           3      0.11932
 118           4      0.07417
 118           5      0.04667
 118           6      0.02852
 118           7      0.01753
 118           8      0.01401
 118           9      0.00961
 118          10      0.00580
 119           1      0.55629
 119           2      0.32444
 119           3      0.20666
 119           4      0.12846
 119           5      0.08082
 119           6      0.04940
 119           7      0.03036
 119           8      0.02426
 119           9      0.01665
 119          10      0.01005
 120           1      0.00031
 120           2      0.00018
 120           3      0.00011
 120           4      0.00007
 120           5      0.00004
 120           6      0.00003
 120           7      0.00002
 120           8      0.00001
 120           9      0.00001
 120          10      0.00001
 121           1      0.08816
 121           2      0.05907
 121           3      0.03890
 121           4      0.02524
 121           5      0.01664
 121           6      0.01079
 121           7      0.00720
 121           8      0.00488
 121           9      0.00369
 121          10      0.00225
 122           1      0.15269
 122           2      0.10230
 122           3      0.06738
 122           4      0.04371
 122           5      0.02883
 122           6      0.01869
 122           7      0.01247
 122           8      0.00845
 122           9      0.00639
 122          10      0.00390
 123           1      0.00008
 123           2      0.00006
 123           3      0.00004
 123           4      0.00002
 123           5      0.00002
 123           6      0.00001
 123           7      0.00001
 123           8      0.00000
 123           9      0.00000
 123          10      0.00000
 124           1      0.08654
 124           2      0.05807
 124           3      0.03847
 124           4      0.02466
 124           5      0.01599
 124           6      0.01047
 124           7      0.00707
 124           8      0.00485
 124           9      0.00308
 124          10      0.00200
 125           1      0.14989
 125           2      0.10058
 125           3      0.06663
 125           4      0.04271
 125           5      0.02769
 125           6      0.01813
 125           7      0.01225
 125           8      0.00840
 125           9      0.00533
 125          10      0.00346
 126           1      0.00008
 126           2      0.00006
 126           3      0.00004
 126           4      0.00002
 126           5      0.00002
 126           6      0.00001
 126           7      0.00001
 126           8      0.00000
 126           9      0.00000
 126          10      0.00000
 127           1      0.01548
 127           2      0.01250
 127           3      0.01017
 127           4      0.00865
 127           5      0.00692
 127           6      0.00590
 127           7      0.00479
 127           8      0.00421
 127           9      0.00308
